type,feature,magnitude,mae_normal,mae_anomaly,snr,maha_dist,is_freeze,detected_recon,detected_maha,detected
drift_end,ejection,0.1,0.02046322636306286,0.02046322636306286,0.9999999511318531,4.467719127597298,True,False,False,True
drift_end,ejection,0.1,0.0206055399030447,0.0206055399030447,0.9999999514693643,4.700806040601369,True,False,False,True
drift_end,ejection,0.1,0.0082703847438097,0.0082703847438097,0.9999998790866557,1.2284175330065281,True,False,False,True
drift_end,ejection,0.1,0.03497324883937836,0.03497324883937836,0.9999999714067179,85.26138506631719,True,False,True,True
drift_end,ejection,0.1,0.018881699070334435,0.018881699070334435,0.9999999470386673,4.877790084682581,True,False,False,True
drift_end,ejection,0.1,0.07904233783483505,0.07904233783483505,0.9999999873485526,79.21488413898079,True,True,True,True
drift_end,ejection,0.1,0.04513387754559517,0.04513387754559517,0.9999999778436945,19.570172188151094,True,True,True,True
drift_end,ejection,0.1,0.02415452152490616,0.02415452152490616,0.9999999585998854,5.692420303590115,True,False,False,True
drift_end,ejection,0.1,0.01672017201781273,0.01672017201781273,0.9999999401920064,4.665640094632654,True,False,False,True
drift_end,ejection,0.1,0.03495616838335991,0.03495616838335991,0.9999999713927464,85.25426662723467,True,False,True,True
drift_end,ejection,0.1,0.013344847597181797,0.013344847597181797,0.9999999250647175,19.076181521719022,True,False,True,True
drift_end,ejection,0.1,0.010932214558124542,0.010932214558124542,0.9999999085272336,4.077255378117672,True,False,False,True
drift_end,ejection,0.1,0.019807370379567146,0.019807370379567146,0.9999999495137452,4.464966920513665,True,False,False,True
drift_end,ejection,0.1,0.07920169085264206,0.07920169085264206,0.9999999873740071,76.8216926308292,True,True,True,True
drift_end,ejection,0.1,0.019412655383348465,0.019412655383348465,0.9999999484872147,4.4331851981664,False,False,False,False
drift_end,ejection,0.1,0.04140208661556244,0.04140208661556244,0.9999999758466286,32.86123837631312,True,True,True,True
drift_end,ejection,0.1,0.023533834144473076,0.023533834144473076,0.9999999575079882,23.28520317135881,True,False,True,True
drift_end,ejection,0.1,0.012718270532786846,0.012718270532786846,0.9999999213729636,3.969796083028014,True,False,False,True
drift_end,ejection,0.1,0.012117578648030758,0.012117578648030758,0.9999999174752691,3.6966243319423127,True,False,False,True
drift_end,ejection,0.1,0.00871986523270607,0.00871986523270607,0.9999998853193417,1.152629456156889,True,False,False,True
drift_end,ejection,0.1,0.01958918757736683,0.01958918757736683,0.9999999489514333,4.468478115625163,True,False,False,True
drift_end,ejection,0.1,0.016480518504977226,0.016480518504977226,0.9999999393223011,0.8554642804924302,True,False,False,True
drift_end,ejection,0.1,0.09130587428808212,0.09130587428808212,0.9999999890478023,80.01426633695101,True,True,True,True
drift_end,ejection,0.1,0.020860204473137856,0.020860204473137856,0.9999999520618337,10.04535931010032,True,False,False,True
drift_end,ejection,0.1,0.008258070796728134,0.008258070796728134,0.9999998789063568,1.1722167938896573,True,False,False,True
drift_end,ejection,0.1,0.03530418872833252,0.03530418872833252,0.99999997167475,85.30564960516107,True,False,True,True
drift_end,ejection,0.1,0.05045057088136673,0.05045057088136673,0.9999999801786191,23.55129990547774,True,True,True,True
